1951 Convention Relating to the Status of Refugees [UN] ,Convention de 1951 relative au statut des réfugiés [ONU] 
1967 Protocol Relating to the Status of Refugees [UN] ,Protocole de 1967 relatif au statut des réfugiés [ONU] 
"AB (see Appeal Book) ",dossier d'appel
"ACEE (see Advisory Committee on Employment Equity) ","CCEE (voir Comité consultatif sur l'équité en matière d'emploi) "
"ADC (see assistant deputy chairperson) ","VPA (voir vice-président adjoint) "
"ADM (see associate deputy minister) ","SMD (voir sous-ministre délégué) "
"ADRP (see Alternative Dispute Resolution Process) ","MARL (voir mode alternatif de règlement des litiges) "
"ADS (see Applications Development Services) ","SDA (voir Services de développement des applications) "
"AFA (see Administrative Framework Agreement) ","ECA (voir Entente cadre administrative) "
"ASSID (see Adjudicative Support and Special Initiative Directorate) ","DSSIS (voir Direction des services de soutien et des initiatives spéciales) "
"ASD (see Alternative Service Delivery) ","DMPS (voir diversification des modes de prestation des services) "
"ATIP (see Access to Information and Privacy) ","AIPRP (voir Accès à l'information et protection des renseignements personnels) "
ATIP Advisory Group ,Groupe consultatif sur l' AIPRP
ATIPflowNOTE A computer software package used to track the processing of access requests.,ATIPflowNOTA Système de suivi du traitement des demandes de communication.
"ATIP/SP (see Access to Information and Privacy and Special Projects) ","AIPRP/PS (voir Accès à l'information, protection des renseignements personnels et projets spéciaux) "
"ATS (see Adjudication Tracking System) ","SSA (voir Système de suivi des cas d'arbitrage) "
"abandoned, to declare a claim; abandoned, to determine that a proceeding has been",prononcer le désistement d'une demande d'asile
abandonment (of a claim for refugee protection),désistement (d'une demande d'asile)
abandonment hearing,audience sur le désistement
ability of the state to provide protection,capacité de l'État à assurer la protection
absence of a nexus,absence de lien
abuse of process,abus de procédure
acceptable document,document acceptable
acceptable documentation establishing identity,papiers d'identité acceptables
acceptance rate,taux d'acceptation
Access to Information and Privacy (ATIP) ,Accès à l'information et protection des renseignements personnels (AIPRP) 
Access to Information and Privacy and Special Projects (ATIP/SP) ,"Accès à l'information, protection des renseignements personnels et projets spéciaux (AIPRP/PS) "
Access to Information and Privacy and Special Projects Directorate,Direction de l'accès à l'information et de la protection des renseignements personnels et des projets spéciaux
"Accommodation, Telecommunications and Security","Locaux, télécommunications et sécurité"
accompanying dependant of an applicant,personne à charge qui accompagne un demandeur
accountability,responsabilisation
accreditation test (for interpreters),examen d'accréditation (des interprètes)
active case,cas actif
"adjournment (of a hearing, of an admissibility hearing)","ajournement (d'une audience, d'une enquête)"
adjournment sine die,ajournement sine die
Adjudication DivisionNOTE Now called Immigration Division under IRPA. ,"Section d'arbitrage  NOTA Maintenant appelée Section de l'immigration sous le régime de la LIPR. "
adjudication process,processus décisionnel
adjudication strategy,stratégie décisionnelle
Adjudication Tracking System (ATS) ,Système de suivi des cas d'arbitrage (SSA) 
Adjudicative Support and Special Initiative Directorate (ASSID) ,Direction des services de soutien et des initiatives spéciales (DSSIS) 
adjudicatorNOTE Now called member under IRPA. ,arbitreNOTA Maintenant appelé commissaire sous le régime de la LIPR. 
Administrative Framework Agreement (AFA) ,Entente cadre administrative (ECA) 
admissibility (to Canada),entrée et séjour (au Canada)
"admissibility hearingNOTE Formerly called ""inquiry"" under the Immigration Act. ",enquête
"admissibility hearing, to hold an",procéder à une enquête
admissibility hearing data sheet,fiche de données sur l'enquête
adopted child,enfant adoptif; adopté
adoption of convenience,adoption de convenance
adoptive parent,parent adoptif
"advance a claim for refugee protection, to; make a claim for refugee protection, to",présenter une demande d'asile; demander l'asile
adversarial hearing,audience contradictoire; audience accusatoire
adversarial proceeding,procédure contradictoire; procédure accusatoire
adverse credibility finding,conclusion défavorable quant à la crédibilité
Advisory Committee on Employment Equity (ACEE) ,Comité consultatif sur l'équité en matière d'emploi (CCEE) 
Advisory Committee on Immigration Consultants,Comité consultatif sur les consultants en immigration
Advisory Committee on Official Languages,Comité consultatif sur les langues officielles
Advisory Committee on the Workforce of the Future,Comité consultatif sur le milieu de travail de demain
affidavit,affidavit
agent of persecution,agent de persécution
Agreement Regarding Claim-Related Information From Refugee Claimants,Entente sur les renseignements relatifs aux revendications des demandeurs du statut de réfugié
agreement to resolve an appeal,entente de règlement d'un appel
alleged country of citizenship,pays présumé de citoyenneté
"allow, to (an appeal, an application, a claim for refugee protection)","faire droit à (un appel); accueillir (une demande, une demande d'asile)"
"allow a claim for refugee protection without a hearing, to",accueillir une demande d'asile sans qu'une audience ne soit tenue; accueillir une demande d'asile sans tenir d'audience
"allowed to withdraw an application, to be",être autorisé à retirer une demande
alternative dispute resolution case clerk,commis préposé aux cas traités suivant le mode alternatif de règlement des litiges
"Alternative Dispute Resolution Process (ADRP)NOTE Formerly called ""Alternative Dispute Resolution (ADR)"" under the Immigration Act. ",mode alternatif de règlement des litiges (MARL)NOTA Auparavant appelé « mode alternatif de règlement des conflits (MARC) » sous le régime de la Loi sur l'immigration. 
Alternative Service Delivery (ASD) ,diversification des modes de prestation des services (DMPS) 
alternative to detention,solution de rechange à la détention
amendment,amendement (d'un projet de loi); modification (d'une loi)
Americas Geographic Network,réseau géographique des Amériques
appeal (n.) ,appel
"appeal, to (against a decision/to the Division); file an appeal, to; make an appeal, to ",interjeter appel (d'une décision devant/auprès de la Section); en appeler; porter en appel; former un appel 
"appeal, to begin an",introduire un appel
"appeal, to continue an",continuer un appel
appeal before/to the Federal Court of Appeal,appel devant la Cour d'appel fédérale
Appeal Book (AB); appeal record ,dossier d'appel
appeal by a sponsor,appel interjeté par un répondant
appeal by the Minister,appel du ministre; appel interjeté par le ministre
appeal decision; decision on an appeal,décision en matière d'appel; décision sur l'appel; décision d'appel
"appealed, may not be; no right to appeal",être sans appel; non susceptible d'appel
appeal hearing; hearing of an appeal,audition de l'appel
"appeal lies from, an; right of appeal; right to appeal",voie d'appel; droit d'interjeter appel; droit d'appel
appeal on the merits,appel sur le fond; appel au fond
appeal period; period for appeal; period for filing an appeal; period for making an appeal,délai d'appel; délai pour interjeter appel
appeal record; Appeal Book (AB) ,dossier d'appel
appeal schedule,calendrier d'appel
appeals office,bureau des appels
appeals officer (Citizenship and Immigration Canada),agent des appels (Citoyenneté et Immigration Canada)
"appeal without a hearing, to resolve an",régler un appel sans tenir d'audience
"appear, to",comparaître
"appear, to be unlikely to (for examination, an admissibility hearing or removal)","se soustraire vraisemblablement (au contrôle, à l'enquête ou au renvoi)"
appearance of bias,apparence de partialité
"appear at an interview, to require the claimant to",convoquer le demandeur d'asile à une entrevue
appellant,appelant
Appellants' Guide to ADR Conference ,Guide des appelants sur la conférence du MARL
applicable provision,disposition applicable
applicant,demandeurNOTA Auparavant appelé « requérant » sous le régime de la Loi sur l'immigration. 
application,demande
"application by the Minister, on",à la/sur demande du ministre
application for determination of cessation of refugee protection,demande relative à la perte de l'asile
application for judicial review,demande de contrôle judiciaire
application for landing,demande d'établissement
application for leave to commence an application for judicial review,demande d'autorisation en vue du contrôle judiciaire; demande d'autorisation de présenter une demande de contrôle judiciaire
application for leave to vacate a determination that a person is a Convention refugee,demande d'autorisation en vue d'annuler la reconnaissance de la qualité de réfugié au sens de la Convention
application for non-disclosure of information,demande d'interdiction de divulgation de renseignements
application for permanent residence,demande de résidence permanente
application for postponement,demande de remise
application for protection,demande de protection
application for public access,demande d'accès du public
application for public hearing,demande d'audience publique
application for sponsorship; application to sponsor (a foreign national); sponsorship application ,demande de parrainage (d'un étranger)
application for vacation of Convention refugee status,demande d'annulation de la qualité de réfugié au sens de la Convention
Applications Development Services (ADS) ,Services de développement des applications (SDA) 
Application to Cease Refugee Protection,demande de constat de perte d'asile
application to change the date or time of a hearing,demande de changement de la date ou de l'heure d'une audience
